id,name,weekly-hour,max-quota,priority,branches
267f81cc-6f4b-4933-a245-657e7fb91175,GİT 415,2,55,10,
d068f938-25b9-4d66-9401-cff9c846a324,MAK 441,4,30,14,
1f859c25-6eae-474b-b81a-c9f363aeb03c,ULU 527,3,15,4,
68c89f6a-0227-4341-a154-b10268f176c9,PSİ 463,0,5,15,
bce9e79f-5ac9-4ab7-acca-693c5c84523c,SUİ 690,3,10,17,
cac47285-14b2-4bf5-95f9-62351af98699,İDE 201,4,25,4,
bd6dc807-4425-44bf-9cf1-8c4a4dcad477,MIS 542,4,15,4,
dcf204b5-a701-4adf-8850-6b37daf945e4,BİL 106,4,30,4,
f779399e-6fba-4d09-8078-1597ab82d7fd,ITA 003,4,50,45,
01a98439-bfa3-4e53-8be2-7389c09135b7,GRT 405,2,50,7,
e03ed236-9a12-4cc7-924f-aaebab026383,SB 401,4,10,3,
e88f990a-0234-4bff-be3e-213f3948791e,MAK 104,4,55,5,
0b8fae36-dbe1-4916-905d-1cb7890cc57b,HUK 201,4,200,5,
c5a29ef4-2457-42e0-8647-dba1b00dd8f1,TAR 441,1,15,9,
6d5b3dfe-4011-4496-bb9a-0b102f5dad56,KİM 101,4,130,2,
1a61b3ed-ab4a-481b-a72e-4aa711ac2c18,BMM 581,4,30,9,
2341ea29-70fc-49bc-8f3f-f73f9f4ecea9,BMM 543,4,15,10,
be465079-5336-462a-a1d0-4840d037ba1b,PSİ 430,1,50,9,
e7266dad-f734-4143-a965-b9b21dd12e0f,PSİ 419,4,40,8,
e1dbd8d6-2337-4142-9aea-98d01b1814de,İKT 437,4,40,11,
f2602f9b-1138-4682-a10d-81541000aa7f,İKT 532,4,15,14,
c5c62d9e-5818-48e6-acdf-21c9b0c26f64,END 418,4,140,4,
c07670d9-1dc3-4ca3-9f13-570f73f6d533,SUİ 344,4,30,10,
47a37223-f0b5-4b63-8b48-4dd076b55115,GİT 313,3,25,9,
ce49c59b-cb1b-4359-913c-8e7bbb823a13,MAT 102,6,350,2,
8f9b09a2-9216-4ae2-9efd-29457cdd804c,İSP 003Y,4,25,45,
513223cb-aa06-4428-8842-86be60f94a07,GİT 203,2,50,6,
b9d63dcd-1fed-419b-9bea-c0ac6f89b943,BMM 491,4,65,7,
f6d4038f-d9f5-43d6-9455-e30c95582482,TAR 413,1,30,7,
